day_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,2343,751,212,133,82,18393,60518,57916,54770,50637,53777,51488,50776,52277,47389,52886,48161,56782,48372,48369,37592,27462,17194,6190
Tuesday,1939,698,204,108,59,18144,59351,56998,54144,49852,52466,50286,50313,51608,47108,52331,47610,55879,47719,47316,36621,26855,16307,5612
Wednesday,1904,683,151,87,74,18501,60080,57691,54743,50795,53518,51379,50959,52145,47489,53052,48371,56997,49031,48649,37680,27622,17479,6088
Thursday,2122,728,205,104,65,18620,61275,58892,56123,51988,54864,52732,51853,53396,48218,53724,48846,57543,49189,49153,38199,27969,17699,6723
Friday,2206,755,201,98,76,18072,60511,58165,55405,51071,54012,52042,51332,52901,47702,53398,48765,57407,49003,49401,38324,28128,17682,6747
Saturday,2120,761,215,131,87,12362,51554,50326,49748,44736,46520,45203,45684,44845,40553,45067,39009,43267,35785,33796,26583,17277,10795,5372
Sunday,1905,729,198,106,85,11892,46329,48716,50756,47985,51735,50424,49923,51595,46411,52037,47753,55701,48785,48525,39180,28473,18361,6995
